,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jan,,12.35,11.88,11.85,12.13,11.94,11.62,11.64,11.82,11.84,,13.14,12.76,12.53,12.57,12.89,12.84,12.75,12.11,12.35,12.76,12.57,12.26,12.31,12.22,12.25,12.22,11.87,11.61,11.82,12.24,12.27,11.99,11.78,12.17,11.98,12.05,12.12,11.68
Feb,,13.14,12.85,12.48,12.81,12.88,12.2,12.42,12.56,12.97,13.52,13.31,13.37,13.18,13.54,13.58,13.49,13.33,12.94,13.4,13.73,13.42,13.05,13.18,13.39,13.19,12.9,12.31,12.31,12.55,13.17,13.17,12.92,12.71,12.67,13.15,12.51,12.81,12.29
Mar,,13.16,12.94,12.65,13.01,12.86,12.5,12.68,12.67,12.78,13.87,13.17,13.46,13.38,13.44,13.74,13.51,13.3,12.87,13.27,13.53,13.5,13.13,13.61,13.39,13.39,12.96,12.7,12.57,12.52,13.5,13.38,13.49,12.78,13.37,13.41,12.91,12.73,12.48
Apr,,12.46,12.46,12.18,12.56,12.13,12.12,12.48,11.97,12.29,13.13,12.29,12.19,12.81,12.78,12.98,12.87,12.35,12.26,12.51,12.79,13.11,12.54,13.01,12.37,12.41,12.11,12.19,11.99,11.78,12.72,12.87,12.8,12.4,12.82,12.69,12.38,12.29,11.89
May,,11.06,10.89,10.93,11.11,10.8,10.82,11.2,10.63,10.92,11.37,11.31,10.86,11.45,11.38,11.37,11.62,10.87,11.24,11.19,11.37,11.63,11.19,11.34,11.13,10.84,10.87,10.84,10.4,10.73,11.21,11.43,10.83,10.69,11.01,11.21,11,10.85,10.14
Jun,,9.29,8.95,8.98,9.42,9.21,9.03,8.9,8.94,9.34,9.65,9.92,9.15,9.62,9.91,9.23,9.64,8.91,9.8,9.16,9.14,9.21,9.02,9.04,9.16,9.07,9.21,8.77,8.36,8.18,8.8,9.21,8.3,8.48,8.07,8.9,8.71,8.66,8.09
Jul,,6.61,6.46,6.24,6.81,6.81,6.21,5.91,6.55,6.49,6.95,7.27,6.47,6.69,7.18,6.2,6.87,6.08,7.39,6.43,6.4,6.51,6.33,6.24,6.37,6.09,6.45,5.84,5.73,5.05,6,6.04,5.52,5.3,5.02,5.73,5.89,5.58,5.24
Aug,,4.97,4.85,4.38,4.34,4.89,4.61,4.52,4.93,5.35,5.37,5.51,4.93,5.15,5.37,4.68,5.12,4.63,5.68,5.04,4.63,4.69,4.73,4.89,4.25,4.46,4.58,4.15,4.25,3.12,3.7,4.1,3.83,3.3,2.82,4.11,4.3,3.55,3.21
Sept,,4.54,4.83,4.38,4.38,4.64,4.04,4.18,4.67,5.61,5.32,4.83,4.51,4.47,5.38,4.53,5.09,4.39,5.6,4.85,4.26,4.24,4.32,4.56,3.99,4.02,4.36,4.04,3.98,2.79,3.22,3.72,3.29,3.18,2.37,3.75,3.7,3.37,
Oct,,6.13,6.43,3.2,3.31,3.72,5.85,6.05,6.79,7.46,7.49,6.92,6.7,6.72,7.71,7.01,7.19,5.93,7.51,6.41,6.66,6.79,6.66,6.6,6.21,5.95,6.36,5.73,5.75,4.23,5.72,5.16,5.44,4.92,4.53,5.9,5.62,5.43,
Nov,8.98,8.29,8.65,8.25,8.99,8.92,8.16,8.36,8.82,9.69,9.87,8.4,9.6,9.2,9.71,9.5,9.65,8.97,8.71,9.01,8.83,9.22,8.82,9.03,8.7,8.51,8.9,8.74,8.08,8.01,9,8.3,8.39,8.45,8,8.6,8.7,8.43,
Dec,10.85,10.57,10.72,10.48,10.82,10.57,10.2,10.17,10.48,,11.96,11.56,11.42,11.14,11.68,11.43,11.45,11.05,10.99,10.92,10.51,10.95,10.92,10.51,10.6,10.76,10.93,10.53,10.12,10.13,10.92,10.54,10.37,10.57,10.39,10.83,10.85,10.59,
